areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2021-10-11,75
E40000003,London,nhsRegion,2021-10-10,58
E40000003,London,nhsRegion,2021-10-09,67
E40000003,London,nhsRegion,2021-10-08,78
E40000003,London,nhsRegion,2021-10-07,84
E40000003,London,nhsRegion,2021-10-06,76
E40000003,London,nhsRegion,2021-10-05,74
E40000003,London,nhsRegion,2021-10-04,87
E40000003,London,nhsRegion,2021-10-03,57
E40000003,London,nhsRegion,2021-10-02,82
E40000003,London,nhsRegion,2021-10-01,70
E40000003,London,nhsRegion,2021-09-30,66
E40000003,London,nhsRegion,2021-09-29,81
E40000003,London,nhsRegion,2021-09-28,73
E40000003,London,nhsRegion,2021-09-27,86
E40000003,London,nhsRegion,2021-09-26,72
E40000003,London,nhsRegion,2021-09-25,81
E40000003,London,nhsRegion,2021-09-24,87
E40000003,London,nhsRegion,2021-09-23,88
E40000003,London,nhsRegion,2021-09-22,80
E40000003,London,nhsRegion,2021-09-21,86
E40000003,London,nhsRegion,2021-09-20,97
E40000003,London,nhsRegion,2021-09-19,70
E40000003,London,nhsRegion,2021-09-18,78
E40000003,London,nhsRegion,2021-09-17,76
E40000003,London,nhsRegion,2021-09-16,103
E40000003,London,nhsRegion,2021-09-15,89
E40000003,London,nhsRegion,2021-09-14,90
E40000003,London,nhsRegion,2021-09-13,98
E40000003,London,nhsRegion,2021-09-12,91
E40000003,London,nhsRegion,2021-09-11,109
E40000003,London,nhsRegion,2021-09-10,101
E40000003,London,nhsRegion,2021-09-09,114
E40000003,London,nhsRegion,2021-09-08,133
E40000003,London,nhsRegion,2021-09-07,123
E40000003,London,nhsRegion,2021-09-06,142
E40000003,London,nhsRegion,2021-09-05,100
E40000003,London,nhsRegion,2021-09-04,88
E40000003,London,nhsRegion,2021-09-03,102
E40000003,London,nhsRegion,2021-09-02,122
E40000003,London,nhsRegion,2021-09-01,124
E40000003,London,nhsRegion,2021-08-31,141
E40000003,London,nhsRegion,2021-08-30,146
E40000003,London,nhsRegion,2021-08-29,118
E40000003,London,nhsRegion,2021-08-28,116
E40000003,London,nhsRegion,2021-08-27,112
E40000003,London,nhsRegion,2021-08-26,115
E40000003,London,nhsRegion,2021-08-25,139
E40000003,London,nhsRegion,2021-08-24,165
E40000003,London,nhsRegion,2021-08-23,147
E40000003,London,nhsRegion,2021-08-22,134
E40000003,London,nhsRegion,2021-08-21,124
E40000003,London,nhsRegion,2021-08-20,120
E40000003,London,nhsRegion,2021-08-19,140
E40000003,London,nhsRegion,2021-08-18,146
E40000003,London,nhsRegion,2021-08-17,111
E40000003,London,nhsRegion,2021-08-16,126
E40000003,London,nhsRegion,2021-08-15,89
E40000003,London,nhsRegion,2021-08-14,129
E40000003,London,nhsRegion,2021-08-13,118
