areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-06-05,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-05,VOC-22APR-03 (Omicron BA.4),110898.0,16.7
E12000001,North East,region,2022-06-05,VOC-22APR-04 (Omicron BA.5),110898.0,42.5
E12000001,North East,region,2022-06-05,VOC-22JAN-01 (Omicron BA.2),110898.0,39.6
E12000001,North East,region,2022-05-29,Other,110653.0,1.8
E12000001,North East,region,2022-05-29,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-29,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-29,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-29,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-29,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-05-29,VOC-22APR-03 (Omicron BA.4),110653.0,11.8
E12000001,North East,region,2022-05-29,VOC-22APR-04 (Omicron BA.5),110653.0,16.4
E12000001,North East,region,2022-05-29,VOC-22JAN-01 (Omicron BA.2),110653.0,70.0
E12000001,North East,region,2022-05-22,Other,110543.0,0.8
E12000001,North East,region,2022-05-22,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-22,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-22,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-22,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-22,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-05-22,VOC-22APR-03 (Omicron BA.4),110543.0,5.3
E12000001,North East,region,2022-05-22,VOC-22APR-04 (Omicron BA.5),110543.0,8.4
E12000001,North East,region,2022-05-22,VOC-22JAN-01 (Omicron BA.2),110543.0,85.5
E12000001,North East,region,2022-05-15,Other,110412.0,0.6
E12000001,North East,region,2022-05-15,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-15,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-15,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-15,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-15,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-05-15,VOC-22APR-03 (Omicron BA.4),110412.0,8.0
E12000001,North East,region,2022-05-15,VOC-22APR-04 (Omicron BA.5),110412.0,3.7
E12000001,North East,region,2022-05-15,VOC-22JAN-01 (Omicron BA.2),110412.0,87.7
E12000001,North East,region,2022-05-08,Other,0.0,0.0
E12000001,North East,region,2022-05-08,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-08,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-08,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-08,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-08,VOC-21NOV-01 (Omicron BA.1),110249.0,0.4
E12000001,North East,region,2022-05-08,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-05-08,VOC-22APR-04 (Omicron BA.5),110249.0,1.8
E12000001,North East,region,2022-05-08,VOC-22JAN-01 (Omicron BA.2),110249.0,97.8
E12000001,North East,region,2022-05-01,Other,110021.0,0.3
E12000001,North East,region,2022-05-01,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-01,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-01,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-01,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-01,VOC-21NOV-01 (Omicron BA.1),110021.0,0.7
E12000001,North East,region,2022-05-01,VOC-22APR-03 (Omicron BA.4),110021.0,0.3
E12000001,North East,region,2022-05-01,VOC-22APR-04 (Omicron BA.5),110021.0,1.4
E12000001,North East,region,2022-05-01,VOC-22JAN-01 (Omicron BA.2),110021.0,97.3
E12000001,North East,region,2022-04-24,Other,109729.0,0.5
E12000001,North East,region,2022-04-24,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-04-24,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-04-24,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-04-24,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-04-24,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-04-24,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-04-24,VOC-22APR-04 (Omicron BA.5),109729.0,0.2
E12000001,North East,region,2022-04-24,VOC-22JAN-01 (Omicron BA.2),109729.0,99.2
E12000001,North East,region,2022-04-17,Other,109333.0,0.5
E12000001,North East,region,2022-04-17,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-04-17,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-04-17,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-04-17,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-04-17,VOC-21NOV-01 (Omicron BA.1),109333.0,0.5
E12000001,North East,region,2022-04-17,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-04-17,VOC-22APR-04 (Omicron BA.5),109333.0,0.5
E12000001,North East,region,2022-04-17,VOC-22JAN-01 (Omicron BA.2),109333.0,98.4
E12000001,North East,region,2022-04-10,Other,108767.0,0.2
E12000001,North East,region,2022-04-10,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-04-10,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-04-10,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-04-10,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-04-10,VOC-21NOV-01 (Omicron BA.1),108767.0,2.5
E12000001,North East,region,2022-04-10,VOC-22APR-03 (Omicron BA.4),108767.0,0.2
E12000001,North East,region,2022-04-10,VOC-22APR-04 (Omicron BA.5),108767.0,0.2
E12000001,North East,region,2022-04-10,VOC-22JAN-01 (Omicron BA.2),108767.0,97.0
E12000001,North East,region,2022-04-03,Other,108157.0,0.2
E12000001,North East,region,2022-04-03,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-04-03,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-04-03,V-21OCT-01 (Delta AY 4.2),0.0,0.0
